,fc
AC007240.3,0.565557681192607
AC007250.1,1.43859610721863
AC007255.1,1.08898447923043
AC007285.1,-2.90900921132911
AC007292.2,-3.4193310981485
AC007312.1,-1.58280498924446
AC007318.1,-1.17524217192703
AC007318.3,-0.95561750496955
AC007319.1,0.166569547133128
AC007326.1,-1.02349155711784
AC007336.1,-2.85334283772106
AC007342.6,2.51637765375186
AC007365.1,0.229362263869073
AC007375.2,5.50757091647582
AC007381.1,-5.05879106139561
AC007382.1,-1.11784056742963
AC007383.3,0.209720735697443
AC007383.4,-0.146810888832344
AC007389.1,0.911949993465668
AC007390.1,1.33215194954283
AC007405.2,-0.0648181174792429
AC007405.4,0.35981470637251
AC007406.3,-0.477764263124378
AC007406.5,0.252396428699859
AC007435.1,1.91157049002608
AC007485.1,-1.77407482602098
AC007485.2,1.23458782217879
AC007496.3,-0.808134523085147
AC007497.1,-0.719448204951748
AC007541.1,0.525506948068641
AC007546.1,0.145446858625934
AC007547.3,-1.58280498924446
AC007560.1,-0.360146055367227
AC007566.1,-0.732171309494033
AC007599.3,1.56501832097346
AC007610.6,-2.20666920132709
AC007611.1,-0.744120123210061
AC007613.1,-0.0430654123068758
AC007663.3,-0.454510089392862
AC007663.4,-1.04358230037003
AC007683.1,0.125790144474742
AC007684.1,0.676819129529089
AC007686.1,-1.04265732121898
AC007686.3,-0.0688834653513386
AC007688.2,0.250669123355708
AC007731.2,0.079657091131263
AC007773.1,0.102185109013903
AC007787.2,-0.874426416881097
AC007823.1,0.998737926736635
AC007849.2,-0.846553837696189
AC007880.2,-2.59576574954408
AC007881.1,-0.597370005035783
AC007906.2,-5.39702293168947
AC007938.2,-3.29313013512332
AC007938.3,-0.719829295633243
AC007950.2,-4.97305085311902
AC007952.2,-0.499128914127017
AC007952.4,-3.82740701292618
AC007952.6,0.396962248311905
AC007952.7,0.319620343457639
AC007996.1,0.670777021088344
AC007998.4,-1.28144501940502
AC008013.2,-0.00562222080223383
AC008014.1,-0.602505513735384
AC008026.1,-0.0346109462988711
AC008033.1,-2.94667842259155
AC008038.1,-0.296327070348947
AC008040.2,0.869898994483261
AC008040.4,-2.08632653768553
AC008079.1,0.796239351250845
